OID,Id,DealId,Code,AssetPairId,Direction,Volume,AccountId,TradingConditionId,AccountAssetId,ExpectedOpenPrice,OpenMatchingEngineId,OpenDate,OpenTradeId,OpenPrice,OpenFxPrice,EquivalentAsset,OpenPriceEquivalent,RelatedOrders,LegalEntity,OpenOriginator,ExternalProviderId,SwapCommissionRate,OpenCommissionRate,CloseCommissionRate,CommissionLot,CloseMatchingEngineId,ClosePrice,CloseFxPrice,ClosePriceEquivalent,StartClosingDate,CloseDate,CloseOriginator,CloseReason,CloseComment,CloseTrades,LastModified,TotalPnL,ChargedPnl,HistoryType,DealInfo,HistoryTimestamp,OpenOrderType,OpenOrderVolume,FxAssetPairId,FxToAssetPairDirection,AdditionalInfo,ForceOpen,CorrelationId
4878420,DITFTN28FH,NULL,638012139935096307,CFD_DE_DAX,Short,-1,202151025,Default,EUR,NULL,STP,2022-10-13 04:42:04.057,DITFTN28FH,12143.17,1,EUR,1,[],Default,Investor,StarWarrant,0,0,0,0,NULL,12147.17,1,0,NULL,NULL,NULL,None,NULL,[],NULL,-4,0,Open,NULL,2022-10-13 04:42:04.057,Market,-1,SymmetricAssetPair,Straight,"{""CreatedBy"":""756209356"",""SessionId"":""1945008308"",""GuiFlag"":0,""IsOnBehalf"":false,""WithOnBehalfFees"":false,""UserComments"":"""",""PlacedViaBulkOperation"":false,""PlacedWithParentOrder"":false,""PlacedViaClosePosition"":false}",0,orders-post-CFD_DE_DAX-2d17a34fc08049f58b2f55ec432b9998
4878216,DTDG88RAG9,NULL,637996036987583620,CFD_US_WTINov22,Short,-1,202152110,Default,EUR,NULL,STP,2022-10-12 19:29:00.787,DTDG88RAG9,87.16,1.03077906281568,EUR,1.03077906281568,[],Default,Investor,StarWarrant,0,0,0,0,NULL,87.2,1.03077906281568,0,NULL,NULL,NULL,None,NULL,[],NULL,-0.04,0,Open,NULL,2022-10-12 19:29:00.790,Market,-1,EURUSD,Reverse,"{""CreatedBy"":""268482595"",""SessionId"":""00000404"",""GuiFlag"":0,""IsOnBehalf"":false,""WithOnBehalfFees"":false,""UserComments"":"""",""PlacedViaBulkOperation"":false,""PlacedWithParentOrder"":false,""PlacedViaClosePosition"":false}",0,orders-post-CFD_US_WTINov22-d86125cff37a403597ec1127aa3b5c8c
4875592,E5TQX347LF,NULL,637996036987580222,CFD_DE_DAX,Short,-1,202187965,Default,EUR,NULL,STP,2022-10-12 13:35:11.660,E5TQX347LF,12159.9,1,EUR,1,[],Default,Investor,StarWarrant,0,0,0,0,NULL,12162.4,1,0,NULL,NULL,NULL,None,NULL,[],NULL,-2.5,0,Open,NULL,2022-10-12 13:35:11.660,Market,-1,SymmetricAssetPair,Straight,"{""CreatedBy"":""758213630"",""SessionId"":""-427922458"",""GuiFlag"":0,""IsOnBehalf"":false,""WithOnBehalfFees"":false,""UserComments"":"""",""PlacedViaBulkOperation"":false,""PlacedWithParentOrder"":false,""PlacedViaClosePosition"":false}",1,orders-post-CFD_DE_DAX-14ea3577fdb24b5ba22fd122fe7ed4e0
4875573,EVAT8YTVI9,NULL,637996036987580195,CFD_DE_DAX,Short,-1,202187965,Default,EUR,NULL,STP,2022-10-12 13:34:32.173,EVAT8YTVI9,12153.41,1,EUR,1,[],Default,Investor,StarWarrant,0,0,0,0,NULL,12155.91,1,0,NULL,NULL,NULL,None,NULL,[],NULL,-2.5,0,Open,NULL,2022-10-12 13:34:32.173,Market,-1,SymmetricAssetPair,Straight,"{""CreatedBy"":""758213630"",""SessionId"":""-427922458"",""GuiFlag"":0,""IsOnBehalf"":false,""WithOnBehalfFees"":false,""UserComments"":"""",""PlacedViaBulkOperation"":false,""PlacedWithParentOrder"":false,""PlacedViaClosePosition"":false}",1,orders-post-CFD_DE_DAX-e680619ac155414bace8c28f02c36614
4874171,F2S9YRGXZ6,NULL,637996036987578309,CFD_DE_MINIDAX,Long,2,202169024,Default,EUR,NULL,STP,2022-10-12 10:23:05.087,F2S9YRGXZ6,1224.71,1,EUR,1,[],Default,Investor,StarWarrant,0,0,0,0,NULL,1224.41,1,0,NULL,NULL,NULL,None,NULL,[],NULL,-0.6,0,Open,NULL,2022-10-12 10:23:05.087,Market,2,SymmetricAssetPair,Straight,"{""CreatedBy"":""753734616"",""SessionId"":""00000404"",""GuiFlag"":0,""IsOnBehalf"":false,""WithOnBehalfFees"":false,""UserComments"":"""",""PlacedViaBulkOperation"":false,""PlacedWithParentOrder"":false,""PlacedViaClosePosition"":false}",0,orders-post-CFD_DE_MINIDAX-bc870f0222d341c497a6dddf7cc291bc
4875585,F8WRC65AUD,NULL,637996036987580213,CFD_DE_DAX,Short,-1,202187965,Default,EUR,NULL,STP,2022-10-12 13:34:59.263,F8WRC65AUD,12153.91,1,EUR,1,[],Default,Investor,StarWarrant,0,0,0,0,NULL,12156.41,1,0,NULL,NULL,NULL,None,NULL,[],NULL,-2.5,0,Open,NULL,2022-10-12 13:34:59.263,Market,-1,SymmetricAssetPair,Straight,"{""CreatedBy"":""758213630"",""SessionId"":""-427922458"",""GuiFlag"":0,""IsOnBehalf"":false,""WithOnBehalfFees"":false,""UserComments"":"""",""PlacedViaBulkOperation"":false,""PlacedWithParentOrder"":false,""PlacedViaClosePosition"":false}",1,orders-post-CFD_DE_DAX-8147506500794dfeb6c0304b735e319d
4878399,FKIS9KGFMC,NULL,638012139935096263,CFD_DE_DAX,Short,-1,202152976,Default,EUR,NULL,STP,2022-10-13 02:51:04.183,FKIS9KGFMC,12148.66,1,EUR,1,[],Default,Investor,StarWarrant,0,0,0,0,NULL,12152.66,1,0,NULL,NULL,NULL,None,NULL,[],NULL,-4,0,Open,NULL,2022-10-13 02:51:04.183,Market,-1,SymmetricAssetPair,Straight,"{""CreatedBy"":""500832603"",""SessionId"":""2117562040"",""GuiFlag"":0,""IsOnBehalf"":false,""WithOnBehalfFees"":false,""UserComments"":"""",""PlacedViaBulkOperation"":false,""PlacedWithParentOrder"":false,""PlacedViaClosePosition"":false}",0,orders-post-CFD_DE_DAX-5f20c5a39da0420abd32db13724c8080
4875886,G9QSV1MTYB,NULL,637996036987580599,CFD_DE_MINIDAX,Short,-1,202187288,Default,EUR,NULL,STP,2022-10-12 13:59:21.603,G9QSV1MTYB,1220.36,1,EUR,1,[],Default,Investor,StarWarrant,0,0,0,0,NULL,1220.76,1,0,NULL,NULL,NULL,None,NULL,[],NULL,-0.4,0,Open,NULL,2022-10-12 13:59:21.607,Market,-1,SymmetricAssetPair,Straight,"{""CreatedBy"":""758135816"",""SessionId"":""00000404"",""GuiFlag"":1,""IsOnBehalf"":false,""WithOnBehalfFees"":false,""PlacedViaBulkOperation"":false,""PlacedWithParentOrder"":false,""PlacedViaClosePosition"":false}",1,orders-post-CFD_DE_MINIDAX-91a7c084e060409fb7dea3174a0be384
4877418,GJO0ROSMUE,NULL,637996036987582615,CFD_DE_DAX,Short,-1,202152976,Default,EUR,NULL,STP,2022-10-12 17:14:42.460,GJO0ROSMUE,12197.35,1,EUR,1,[],Default,Investor,StarWarrant,0,0,0,0,NULL,12199.35,1,0,NULL,NULL,NULL,None,NULL,[],NULL,-2,0,Open,NULL,2022-10-12 17:14:42.460,Market,-1,SymmetricAssetPair,Straight,"{""CreatedBy"":""500832603"",""SessionId"":""430273783"",""GuiFlag"":0,""IsOnBehalf"":false,""WithOnBehalfFees"":false,""UserComments"":"""",""PlacedViaBulkOperation"":false,""PlacedWithParentOrder"":false,""PlacedViaClosePosition"":false}",0,orders-post-CFD_DE_DAX-1f418db6b3f84e18b9f690217a75e7a7
4875586,H9UWR8PLZP,NULL,637996036987580214,CFD_DE_DAX,Short,-1,202187965,Default,EUR,NULL,STP,2022-10-12 13:34:59.890,H9UWR8PLZP,12153.91,1,EUR,1,[],Default,Investor,StarWarrant,0,0,0,0,NULL,12156.41,1,0,NULL,NULL,NULL,None,NULL,[],NULL,-2.5,0,Open,NULL,2022-10-12 13:34:59.890,Market,-1,SymmetricAssetPair,Straight,"{""CreatedBy"":""758213630"",""SessionId"":""-427922458"",""GuiFlag"":0,""IsOnBehalf"":false,""WithOnBehalfFees"":false,""UserComments"":"""",""PlacedViaBulkOperation"":false,""PlacedWithParentOrder"":false,""PlacedViaClosePosition"":false}",1,orders-post-CFD_DE_DAX-b1155612c6a24be5a18d467f68dfbcf1
